epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6582,1.49649,1.75895,1.16438,0.38811,0.40033,0.28819,0.13544,1.77051,2.70606,1.49918,0.0701463,0.00331707,0.00331707
2,112.173,1.42338,1.45532,1.12564,0.56257,0.7065,0.65661,0.36726,1.52286,1.47787,1.19924,0.0401024,0.00660651,0.00660651
3,162.614,1.3479,1.3059,1.0992,0.70205,0.76622,0.73223,0.43878,1.33269,1.22921,1.09873,0.0100146,0.00985195,0.00985195
4,212.471,1.30937,1.21799,1.08688,0.78331,0.74854,0.7784,0.46397,1.27761,1.21691,1.07641,0.009802,0.009802,0.009802
5,262.288,1.24815,1.14176,1.06595,0.75599,0.75968,0.7858,0.48426,1.23903,1.20896,1.07337,0.009736,0.009736,0.009736
6,312.144,1.2202,1.09072,1.06731,0.81174,0.8191,0.84421,0.53471,1.22015,0.97296,1.06296,0.00967,0.00967,0.00967
7,362.598,1.18696,1.06147,1.04187,0.79481,0.78641,0.80891,0.53803,1.15668,0.96793,1.03421,0.009604,0.009604,0.009604
8,411.904,1.17451,1.02152,1.04084,0.77265,0.79224,0.81842,0.532,1.16411,1.03333,1.02962,0.009538,0.009538,0.009538
9,461.524,1.16897,0.99788,1.04011,0.77156,0.81585,0.83685,0.54125,1.15207,0.94256,1.03866,0.009472,0.009472,0.009472
10,510.992,1.17196,0.99241,1.04821,0.83656,0.80378,0.85251,0.56986,1.14774,0.90029,1.03088,0.009406,0.009406,0.009406
11,561.571,1.13898,0.99015,1.0257,0.79381,0.84365,0.85709,0.57782,1.11654,0.8992,1.02699,0.00934,0.00934,0.00934
12,611.22,1.10244,0.941,1.01753,0.81884,0.8605,0.87269,0.57177,1.11445,0.87147,1.01902,0.009274,0.009274,0.009274
13,662.071,1.09329,0.90323,1.01212,0.8478,0.8485,0.88165,0.59524,1.09901,0.83771,1.01333,0.009208,0.009208,0.009208
14,712.346,1.09439,0.90645,1.01372,0.8199,0.82787,0.84939,0.57188,1.10419,0.84355,1.0259,0.009142,0.009142,0.009142
15,762.751,1.10746,0.9181,1.01913,0.8351,0.82646,0.85588,0.57579,1.11331,0.86175,1.02595,0.009076,0.009076,0.009076
16,812.764,1.07881,0.88613,1.01234,0.86282,0.84322,0.88147,0.60818,1.09028,0.82626,1.01063,0.00901,0.00901,0.00901
17,862.976,1.06147,0.86861,1.00946,0.86638,0.85483,0.87893,0.61809,1.05632,0.83043,1.00445,0.008944,0.008944,0.008944
18,913.54,1.06719,0.85813,1.00142,0.85033,0.84986,0.87832,0.60714,1.06985,0.806,1.01365,0.008878,0.008878,0.008878
19,962.64,1.05865,0.85142,1.00375,0.8367,0.86421,0.8879,0.62124,1.06776,0.80331,1.00204,0.008812,0.008812,0.008812
20,1012.15,1.03915,0.82906,0.99236,0.88697,0.86013,0.89619,0.62759,1.05909,0.79224,1.00499,0.008746,0.008746,0.008746
21,1061.5,1.04003,0.84518,0.99535,0.84599,0.86688,0.87815,0.61512,1.07302,0.80477,1.00813,0.00868,0.00868,0.00868
22,1110.88,1.03011,0.82172,0.98837,0.84045,0.86571,0.8809,0.61377,1.06546,0.81196,1.00887,0.008614,0.008614,0.008614
23,1160.76,1.03207,0.81922,0.99185,0.8843,0.85581,0.90098,0.63349,1.05135,0.77398,1.00698,0.008548,0.008548,0.008548
24,1211.81,1.02873,0.81561,0.99317,0.87916,0.87638,0.90497,0.6386,1.03273,0.74852,0.99704,0.008482,0.008482,0.008482
