epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1873.45,1.21347,0.83749,1.06464,0.79669,0.85599,0.84213,0.51047,1.46596,1.00087,1.20471,0.005644,0.005644,0.005644
68,1901.54,1.20312,0.81958,1.05874,0.78217,0.85663,0.85628,0.49875,1.46589,1.01837,1.19945,0.005578,0.005578,0.005578
69,1929.05,1.16205,0.78482,1.04564,0.81872,0.84215,0.86243,0.51484,1.47084,0.97369,1.19191,0.005512,0.005512,0.005512
70,1955.98,1.16683,0.76891,1.04175,0.7765,0.85821,0.84467,0.51669,1.45155,1.013,1.18623,0.005446,0.005446,0.005446
71,1983.13,1.14906,0.75587,1.03274,0.81574,0.85388,0.85619,0.51753,1.4456,0.95979,1.18126,0.00538,0.00538,0.00538
72,2010.99,1.17132,0.78156,1.04818,0.78273,0.84918,0.84748,0.51288,1.45224,0.98722,1.19067,0.005314,0.005314,0.005314
73,2038.42,1.17929,0.78586,1.05445,0.79594,0.85859,0.84127,0.51251,1.45393,0.97199,1.18577,0.005248,0.005248,0.005248
74,2066.38,1.14513,0.75983,1.03074,0.77868,0.83214,0.83105,0.49872,1.46502,0.96717,1.19075,0.005182,0.005182,0.005182
75,2093.97,1.16006,0.76622,1.04221,0.79143,0.81083,0.81124,0.49545,1.46853,0.98884,1.18952,0.005116,0.005116,0.005116
76,2121.39,1.16239,0.77239,1.0458,0.79033,0.84179,0.8355,0.50686,1.44306,0.99237,1.17301,0.00505,0.00505,0.00505
77,2148.21,1.16068,0.76233,1.04268,0.794,0.81286,0.83613,0.5014,1.49706,0.99755,1.20483,0.004984,0.004984,0.004984
78,2175.2,1.13673,0.73693,1.02594,0.78284,0.86252,0.85828,0.52299,1.4586,0.95286,1.19648,0.004918,0.004918,0.004918
79,2202.41,1.13939,0.73627,1.02847,0.81245,0.85573,0.85996,0.524,1.43451,0.97175,1.18863,0.004852,0.004852,0.004852
80,2230.09,1.13604,0.74171,1.02338,0.7629,0.83843,0.80962,0.49389,1.49691,1.00864,1.21166,0.004786,0.004786,0.004786
81,2257.57,1.09904,0.70852,1.01703,0.83777,0.83725,0.85207,0.51627,1.45709,0.97231,1.18739,0.00472,0.00472,0.00472
82,2284.81,1.10017,0.70115,1.01711,0.77067,0.79919,0.80291,0.49068,1.46746,0.98963,1.20467,0.004654,0.004654,0.004654
83,2312.04,1.10112,0.70913,1.0175,0.76695,0.82028,0.82718,0.49857,1.47771,0.9831,1.20165,0.004588,0.004588,0.004588
84,2339.36,1.09552,0.71781,1.01481,0.81066,0.83141,0.85216,0.51672,1.46058,0.97285,1.19668,0.004522,0.004522,0.004522
85,2366.45,1.10258,0.71031,1.01826,0.79893,0.83836,0.84854,0.5116,1.44858,0.96457,1.19685,0.004456,0.004456,0.004456
86,2394.2,1.08652,0.69125,1.00805,0.81891,0.84,0.86186,0.52494,1.45851,0.96161,1.20211,0.00439,0.00439,0.00439
87,2422.2,1.10375,0.70452,1.0181,0.79502,0.85681,0.84402,0.51352,1.45734,0.98034,1.20022,0.004324,0.004324,0.004324
88,2449.73,1.0978,0.6881,1.01185,0.79171,0.84046,0.82477,0.50182,1.44189,0.98347,1.18778,0.004258,0.004258,0.004258
89,2477.35,1.06951,0.66813,1.00248,0.80224,0.84258,0.84303,0.51442,1.45809,0.97295,1.19909,0.004192,0.004192,0.004192
90,2504.42,1.08707,0.68746,1.0172,0.78839,0.83995,0.81935,0.49685,1.46042,1.00119,1.20096,0.004126,0.004126,0.004126
91,2531.47,1.07478,0.69062,1.00721,0.83509,0.84903,0.84793,0.5178,1.46879,0.96501,1.21066,0.00406,0.00406,0.00406
