epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6125.21,0.65206,0.44413,0.89204,0.91531,0.92683,0.94816,0.78679,0.74455,0.50873,0.94345,0.005842,0.005842,0.005842
44,6265.31,0.65945,0.43906,0.89194,0.90424,0.88625,0.93575,0.77761,0.74397,0.50299,0.94234,0.005743,0.005743,0.005743
45,6406.16,0.64561,0.4276,0.88996,0.93603,0.88885,0.94952,0.78377,0.73606,0.50536,0.93935,0.005644,0.005644,0.005644
46,6545.09,0.63669,0.4293,0.88811,0.91852,0.9087,0.94666,0.78743,0.73409,0.51205,0.9408,0.005545,0.005545,0.005545
47,6687.16,0.63426,0.42257,0.88632,0.93189,0.92523,0.95118,0.77593,0.73561,0.51028,0.93806,0.005446,0.005446,0.005446
48,6827.84,0.63127,0.41824,0.88109,0.90725,0.90871,0.94148,0.77974,0.73483,0.50664,0.94168,0.005347,0.005347,0.005347
49,6969.7,0.61958,0.40933,0.87934,0.9135,0.91476,0.94231,0.78148,0.73054,0.4936,0.93994,0.005248,0.005248,0.005248
50,7113.32,0.63372,0.4141,0.88864,0.91789,0.90842,0.9446,0.78381,0.73253,0.50263,0.94353,0.005149,0.005149,0.005149
51,7254.28,0.61292,0.4025,0.87939,0.92099,0.9109,0.94481,0.78194,0.73418,0.50366,0.94425,0.00505,0.00505,0.00505
52,7394.48,0.62212,0.40132,0.88223,0.92167,0.91539,0.94164,0.78672,0.72856,0.4927,0.93984,0.004951,0.004951,0.004951
53,7534.48,0.60815,0.39757,0.87744,0.91705,0.9275,0.94983,0.78823,0.72905,0.49676,0.94143,0.004852,0.004852,0.004852
54,7675.83,0.60402,0.39623,0.87627,0.92083,0.90891,0.94787,0.78518,0.72625,0.50448,0.94228,0.004753,0.004753,0.004753
55,7817.27,0.60652,0.39488,0.87953,0.89906,0.91153,0.94443,0.79162,0.72517,0.50296,0.93972,0.004654,0.004654,0.004654
56,7958.83,0.60597,0.39383,0.87767,0.92617,0.9108,0.94687,0.78824,0.71887,0.49732,0.93975,0.004555,0.004555,0.004555
57,8098.44,0.5945,0.39027,0.87428,0.91993,0.91929,0.94804,0.78776,0.72376,0.49712,0.93938,0.004456,0.004456,0.004456
58,8237.58,0.59088,0.38814,0.87172,0.92632,0.90934,0.94797,0.78644,0.72312,0.50675,0.93891,0.004357,0.004357,0.004357
59,8377.04,0.5939,0.38442,0.87033,0.92328,0.92657,0.95103,0.78798,0.71745,0.49899,0.93888,0.004258,0.004258,0.004258
60,8517.31,0.58547,0.37887,0.8706,0.92023,0.9116,0.94809,0.79099,0.71781,0.49837,0.93883,0.004159,0.004159,0.004159
61,8656.72,0.58439,0.37719,0.86836,0.90607,0.93018,0.94698,0.78818,0.72233,0.49897,0.94263,0.00406,0.00406,0.00406
62,8798.95,0.5846,0.37731,0.87076,0.92367,0.91796,0.94844,0.79108,0.71651,0.49908,0.94015,0.003961,0.003961,0.003961
63,8938.77,0.57955,0.37204,0.86886,0.92138,0.9261,0.94847,0.79221,0.71832,0.50412,0.93883,0.003862,0.003862,0.003862
64,9080.82,0.57618,0.37322,0.86645,0.92376,0.92198,0.94869,0.79059,0.71924,0.50297,0.94243,0.003763,0.003763,0.003763
65,9224.25,0.56732,0.36626,0.86526,0.92804,0.90823,0.94938,0.79026,0.71746,0.49703,0.94157,0.003664,0.003664,0.003664
66,9363.57,0.5671,0.36639,0.86483,0.9162,0.91721,0.94848,0.79737,0.71183,0.49864,0.93967,0.003565,0.003565,0.003565
67,9505.56,0.5658,0.36834,0.8668,0.917,0.92584,0.94804,0.79383,0.71349,0.4966,0.93789,0.003466,0.003466,0.003466
68,9648.18,0.56063,0.36112,0.86428,0.9308,0.91941,0.9493,0.79464,0.71214,0.49935,0.94053,0.003367,0.003367,0.003367
69,9788.97,0.56234,0.36077,0.86538,0.91262,0.93401,0.94729,0.79905,0.70773,0.49854,0.9381,0.003268,0.003268,0.003268
70,9929.13,0.55631,0.35867,0.86265,0.92194,0.91931,0.94714,0.79343,0.71023,0.50009,0.93871,0.003169,0.003169,0.003169
71,10069.8,0.55204,0.35185,0.86048,0.92321,0.91996,0.94359,0.79179,0.70826,0.49925,0.93731,0.00307,0.00307,0.00307
72,10210.3,0.54636,0.35158,0.85892,0.91106,0.92674,0.94748,0.79478,0.70889,0.49823,0.93761,0.002971,0.002971,0.002971
73,10350.7,0.54133,0.35113,0.85791,0.92122,0.91783,0.94731,0.79645,0.70632,0.49332,0.93782,0.002872,0.002872,0.002872
74,10494.2,0.54218,0.34234,0.85625,0.92228,0.90747,0.94748,0.79896,0.70556,0.50032,0.93931,0.002773,0.002773,0.002773
75,10634.5,0.54469,0.34759,0.86039,0.9186,0.92499,0.94674,0.79644,0.70586,0.49854,0.94026,0.002674,0.002674,0.002674
76,10774.6,0.54009,0.34183,0.85746,0.91682,0.92335,0.94592,0.79481,0.70481,0.49674,0.93936,0.002575,0.002575,0.002575
77,10917.3,0.53632,0.33958,0.85453,0.90959,0.92624,0.9453,0.79866,0.70068,0.49847,0.93799,0.002476,0.002476,0.002476
78,11058.7,0.52605,0.33465,0.85376,0.91781,0.92742,0.94608,0.799,0.69926,0.49892,0.93668,0.002377,0.002377,0.002377
79,11200.5,0.52727,0.33638,0.85375,0.91501,0.93106,0.94693,0.79987,0.70055,0.49865,0.93771,0.002278,0.002278,0.002278
80,11342.2,0.52467,0.33396,0.85427,0.92631,0.91392,0.94517,0.79854,0.70174,0.49683,0.93791,0.002179,0.002179,0.002179
81,11483.9,0.51724,0.32816,0.85174,0.92148,0.93081,0.94421,0.79855,0.69934,0.49571,0.93844,0.00208,0.00208,0.00208
82,11624.9,0.51294,0.32625,0.85231,0.91923,0.92992,0.9451,0.7968,0.70037,0.49583,0.93721,0.001981,0.001981,0.001981
83,11767.3,0.51782,0.33281,0.85283,0.91578,0.92932,0.94561,0.80042,0.69945,0.49318,0.93787,0.001882,0.001882,0.001882
84,11908.6,0.51386,0.32402,0.8505,0.9267,0.91285,0.94584,0.80224,0.69887,0.49507,0.93908,0.001783,0.001783,0.001783
85,12050.1,0.51229,0.32249,0.84988,0.91801,0.92855,0.94735,0.79826,0.69897,0.4959,0.93869,0.001684,0.001684,0.001684
86,12193.4,0.5055,0.31909,0.84807,0.90614,0.93382,0.94739,0.79913,0.69988,0.49516,0.93876,0.001585,0.001585,0.001585
87,12337.4,0.5025,0.31694,0.84833,0.91873,0.93123,0.94733,0.79957,0.69932,0.49394,0.93986,0.001486,0.001486,0.001486
88,12479.7,0.49973,0.3163,0.84608,0.91242,0.92797,0.94769,0.80215,0.69702,0.49419,0.93971,0.001387,0.001387,0.001387
89,12624.2,0.49968,0.31458,0.84486,0.91058,0.92991,0.94786,0.79992,0.69639,0.49346,0.93935,0.001288,0.001288,0.001288
90,12766.9,0.49491,0.31041,0.84421,0.91939,0.91952,0.94829,0.80237,0.69594,0.49208,0.94011,0.001189,0.001189,0.001189
91,12909.6,0.46341,0.28276,0.83152,0.91359,0.92376,0.94853,0.80313,0.7023,0.49561,0.94091,0.00109,0.00109,0.00109
92,13047.2,0.44753,0.27445,0.82794,0.91414,0.92527,0.94727,0.80639,0.69971,0.49974,0.9401,0.000991,0.000991,0.000991
93,13185.1,0.44357,0.26931,0.82583,0.91741,0.92377,0.94832,0.80451,0.69879,0.50085,0.93978,0.000892,0.000892,0.000892
94,13320.1,0.44556,0.2719,0.82951,0.91829,0.92466,0.94841,0.80708,0.69812,0.4996,0.93962,0.000793,0.000793,0.000793
95,13456,0.43288,0.26225,0.82521,0.91204,0.92533,0.94725,0.80785,0.69733,0.50197,0.94028,0.000694,0.000694,0.000694
96,13591.8,0.4287,0.26221,0.82252,0.91838,0.91864,0.94666,0.80768,0.6961,0.50269,0.94034,0.000595,0.000595,0.000595
97,13729.2,0.4259,0.25819,0.82445,0.91519,0.92048,0.94718,0.80662,0.69685,0.50373,0.94058,0.000496,0.000496,0.000496
98,13865.8,0.43688,0.26718,0.82785,0.91781,0.91792,0.94642,0.80459,0.69684,0.50486,0.94144,0.000397,0.000397,0.000397
99,14003.1,0.42861,0.26424,0.82624,0.91623,0.91533,0.94613,0.80433,0.69651,0.50383,0.94163,0.000298,0.000298,0.000298
100,14139.1,0.41613,0.24908,0.82078,0.91238,0.91833,0.94626,0.80431,0.6968,0.506,0.94256,0.000199,0.000199,0.000199
