epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1259.22,1.3187,0.99236,1.10474,0.76125,0.84366,0.84867,0.50302,1.4615,1.0334,1.17454,0.007162,0.007162,0.007162
45,1286.94,1.30584,0.96585,1.09804,0.76619,0.83167,0.84639,0.48926,1.45719,1.03431,1.17639,0.007096,0.007096,0.007096
46,1315.32,1.30629,0.95777,1.08881,0.80315,0.82196,0.84146,0.50832,1.4495,1.00802,1.16776,0.00703,0.00703,0.00703
47,1343.36,1.28175,0.9698,1.08877,0.77816,0.77406,0.79032,0.4722,1.45931,1.06531,1.19185,0.006964,0.006964,0.006964
48,1371.34,1.28926,0.94575,1.09247,0.79675,0.82497,0.83399,0.49217,1.4803,1.05135,1.18513,0.006898,0.006898,0.006898
49,1399.8,1.28358,0.94297,1.09987,0.74728,0.84573,0.82937,0.51053,1.48131,1.0836,1.18504,0.006832,0.006832,0.006832
50,1428.46,1.28052,0.93999,1.09287,0.77238,0.82452,0.82561,0.48133,1.47416,1.0369,1.19434,0.006766,0.006766,0.006766
51,1457.18,1.25004,0.89732,1.07416,0.81097,0.7926,0.84348,0.50735,1.44666,1.0018,1.18036,0.0067,0.0067,0.0067
52,1485.47,1.2527,0.91394,1.06907,0.78964,0.82498,0.84458,0.52037,1.45293,1.00712,1.18617,0.006634,0.006634,0.006634
53,1513.95,1.26067,0.92435,1.07446,0.79598,0.84864,0.84444,0.51483,1.43879,1.01046,1.1811,0.006568,0.006568,0.006568
54,1541.96,1.25223,0.90853,1.07303,0.78184,0.8335,0.8489,0.51419,1.42902,0.99597,1.17923,0.006502,0.006502,0.006502
55,1570.47,1.24944,0.88554,1.07869,0.77629,0.83797,0.82939,0.50492,1.4485,1.00535,1.17991,0.006436,0.006436,0.006436
56,1598.71,1.21725,0.83765,1.06525,0.75831,0.87066,0.82203,0.49174,1.45997,0.99018,1.17772,0.00637,0.00637,0.00637
57,1625.91,1.25225,0.90025,1.07508,0.79932,0.82239,0.8422,0.51199,1.45283,1.03679,1.19856,0.006304,0.006304,0.006304
58,1654.43,1.25144,0.8622,1.07312,0.78508,0.86178,0.85423,0.48962,1.47066,1.01601,1.19,0.006238,0.006238,0.006238
59,1683.09,1.2225,0.86182,1.06465,0.78646,0.83561,0.84357,0.51014,1.42777,1.0142,1.17504,0.006172,0.006172,0.006172
60,1711.47,1.23825,0.88155,1.07262,0.79044,0.80925,0.83692,0.49515,1.4426,1.02901,1.18608,0.006106,0.006106,0.006106
61,1739.19,1.21043,0.83889,1.05891,0.74377,0.85802,0.83632,0.51112,1.44721,0.98901,1.18335,0.00604,0.00604,0.00604
62,1768.09,1.21382,0.84692,1.06426,0.77636,0.83242,0.82425,0.4989,1.44998,0.98753,1.18999,0.005974,0.005974,0.005974
